Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 

0000001  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   260   64713   64714  259.00000  259.40000  260.00000   135   65194  134.50000  135.30000  135.50000
0000002  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   260   64713   64714  259.00000  259.60000  260.00000   135   65194  134.50000  135.30000  135.50000
0000003  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   260   64713   64714  259.00000  259.80000  260.00000   135   65194  134.50000  135.30000  135.50000
0000004  2.00000e-01  0.00000e+00  0.00000e+00  8.00000e-01  1.00000e+00   261   64714   64715  260.00000  260.00000  261.00000   135   65195  134.50000  135.30000  135.50000
0000005  1.60000e-01  4.00000e-02  1.60000e-01  6.40000e-01  1.00000e+00   261   64714   64715  260.00000  260.20000  261.00000   135   65195  134.50000  135.30000  135.50000
0000006  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   261   64714   64715  260.00000  260.40000  261.00000   135   65195  134.50000  135.30000  135.50000
0000007  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   261   64714   64715  260.00000  260.60000  261.00000   135   65195  134.50000  135.30000  135.50000
0000008  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   261   64714   64715  260.00000  260.80000  261.00000   135   65195  134.50000  135.30000  135.50000
0000009  2.00000e-01  0.00000e+00  0.00000e+00  8.00000e-01  1.00000e+00   262   64715   64716  261.00000  261.00000  262.00000   135   65196  134.50000  135.30000  135.50000
0000010  1.60000e-01  4.00000e-02  1.60000e-01  6.40000e-01  1.00000e+00   262   64715   64716  261.00000  261.20000  262.00000   135   65196  134.50000  135.30000  135.50000
0000011  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   262   64715   64716  261.00000  261.40000  262.00000   135   65196  134.50000  135.30000  135.50000
0000012  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   262   64715   64716  261.00000  261.60000  262.00000   135   65196  134.50000  135.30000  135.50000
0000013  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   262   64715   64716  261.00000  261.80000  262.00000   135   65196  134.50000  135.30000  135.50000
0000014  2.00000e-01  0.00000e+00  0.00000e+00  8.00000e-01  1.00000e+00   263   64716   64717  262.00000  262.00000  263.00000   135   65197  134.50000  135.30000  135.50000
0000015  1.60000e-01  4.00000e-02  1.60000e-01  6.40000e-01  1.00000e+00   263   64716   64717  262.00000  262.20000  263.00000   135   65197  134.50000  135.30000  135.50000
0000016  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   263   64716   64717  262.00000  262.40000  263.00000   135   65197  134.50000  135.30000  135.50000
0000017  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   263   64716   64717  262.00000  262.60000  263.00000   135   65197  134.50000  135.30000  135.50000
0000018  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   263   64716   64717  262.00000  262.80000  263.00000   135   65197  134.50000  135.30000  135.50000
0000019  2.00000e-01  0.00000e+00  0.00000e+00  8.00000e-01  1.00000e+00   264   64717   64718  263.00000  263.00000  264.00000   135   65198  134.50000  135.30000  135.50000
0000020  1.60000e-01  4.00000e-02  1.60000e-01  6.40000e-01  1.00000e+00   264   64717   64718  263.00000  263.20000  264.00000   135   65198  134.50000  135.30000  135.50000
0000021  1.20000e-01  8.00000e-02  3.20000e-01  4.80000e-01  1.00000e+00   264   64717   64718  263.00000  263.40000  264.00000   135   65198  134.50000  135.30000  135.50000
0000022  8.00000e-02  1.20000e-01  4.80000e-01  3.20000e-01  1.00000e+00   264   64717   64718  263.00000  263.60000  264.00000   135   65198  134.50000  135.30000  135.50000
0000023  4.00000e-02  1.60000e-01  6.40000e-01  1.60000e-01  1.00000e+00   264   64717   64718  263.00000  263.80000  264.00000   135   65198  134.50000  135.30000  135.50000
